epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.917,0.9064,2.45444,1.60745,0.27218,0.72787,0.36425,0.20724,1.49633,2.29892,2.17603,0.000462281,0.000462281,0.000462281
43,128.696,0.86361,2.37054,1.45292,0.27218,0.72787,0.36425,0.20724,1.49633,2.29892,2.17603,0.000438703,0.000438703,0.000438703
44,131.497,0.98567,2.52393,1.62495,0.27218,0.72787,0.36425,0.20724,1.49633,2.29892,2.17603,0.000415124,0.000415124,0.000415124
45,134.494,0.93053,2.47188,1.61792,0.25442,0.42222,0.34733,0.22953,1.37556,2.24108,2.04143,0.000391546,0.000391546,0.000391546
46,137.339,0.90201,2.17387,1.52234,0.25442,0.42222,0.34733,0.22953,1.37556,2.24108,2.04143,0.000367967,0.000367967,0.000367967
47,140.033,1.02956,2.55492,1.6222,0.25442,0.42222,0.34733,0.22953,1.37556,2.24108,2.04143,0.000344389,0.000344389,0.000344389
48,142.676,0.95119,2.34337,1.60713,0.17103,0.42284,0.33053,0.21813,1.26371,2.18574,1.94333,0.00032081,0.00032081,0.00032081
49,145.357,0.9128,2.31472,1.45886,0.17103,0.42284,0.33053,0.21813,1.26371,2.18574,1.94333,0.000297232,0.000297232,0.000297232
50,149.403,0.93253,2.31033,1.51311,0.17103,0.42284,0.33053,0.21813,1.26371,2.18574,1.94333,0.000273654,0.000273654,0.000273654
51,175.699,1.04449,2.25439,1.60451,0.17103,0.42284,0.33053,0.21813,1.26371,2.18574,1.94333,0.000250075,0.000250075,0.000250075
52,178.347,0.86631,2.21452,1.50876,0.33802,0.7314,0.39013,0.26149,1.23653,2.17769,1.92344,0.000226497,0.000226497,0.000226497
53,181.228,0.8545,2.32402,1.55011,0.33802,0.7314,0.39013,0.26149,1.23653,2.17769,1.92344,0.000202918,0.000202918,0.000202918
54,184.077,0.9042,2.22456,1.59899,0.33802,0.7314,0.39013,0.26149,1.23653,2.17769,1.92344,0.00017934,0.00017934,0.00017934
55,186.876,0.87336,2.17868,1.37943,0.38856,0.7,0.49368,0.3691,1.22657,2.10927,1.90815,0.000155761,0.000155761,0.000155761
56,189.648,0.91244,2.38836,1.46871,0.38856,0.7,0.49368,0.3691,1.22657,2.10927,1.90815,0.000132183,0.000132183,0.000132183
57,192.15,0.78111,2.17398,1.61081,0.38856,0.7,0.49368,0.3691,1.22657,2.10927,1.90815,0.000108604,0.000108604,0.000108604
58,194.826,0.86811,2.05023,1.47659,0.38856,0.7,0.49368,0.3691,1.22657,2.10927,1.90815,8.50255e-05,8.50255e-05,8.50255e-05
59,197.873,0.76099,2.03793,1.44514,0.37267,0.63333,0.48922,0.37755,1.24913,2.14375,1.95363,6.1447e-05,6.1447e-05,6.1447e-05
60,200.254,0.8341,2.24854,1.41551,0.37267,0.63333,0.48922,0.37755,1.24913,2.14375,1.95363,3.78685e-05,3.78685e-05,3.78685e-05
